id_client,Price,Category
1,"16,97",Outdoors
2,"143,39",Grocery
3,"37,64",Music
4,"8,51",Jewelry
5,"28,42",Grocery
6,"15,96",Outdoors
7,"149,02",Beauty
8,"97,38",Games
9,"139,96",Outdoors
10,"55,45",Shoes
11,"96,16",Jewelry
12,"104,93",Computers
13,"92,52",Baby
14,"108,42",Grocery
15,"144,17",Shoes
16,"5,45",Computers
17,"27,87",Industrial
18,"116,19",Automotive
19,"3,72",Computers
20,"36,02",Kids
21,"16,72",Computers
22,"72,98",Home
23,"6,84",Beauty
24,"76,3",Beauty
25,"85,65",Clothing
26,"133,3",Industrial
27,"129,78",Baby
28,"64,54",Electronics
29,"142,53",Home
30,"51,88",Health
31,"68,69",Toys
32,"141,11",Home
33,"68,77",Books
34,"15,12",Home
35,"67,89",Movies
36,"123,38",Health
37,"72,93",Electronics
38,"117,56",Clothing
39,"64,3",Baby
40,"53,63",Jewelry
41,"85,16",Beauty
42,"84,32",Automotive
43,"59,74",Computers
44,"105,26",Automotive
45,"4,34",Automotive
46,"132,73",Garden
47,"78,99",Home
48,"51,27",Grocery
49,"147,63",Books
50,"128,95",Jewelry
51,"53,74",Garden
52,"66,4",Computers
53,"60,66",Beauty
54,"13,38",Industrial
55,"41,92",Baby
56,"132,4",Books
57,"113,68",Computers
58,"57,67",Music
59,"90,98",Music
60,"41,34",Garden
61,"7,24",Games
62,"119,74",Grocery
63,"45,49",Beauty
64,"99,37",Health
65,"26,75",Games
66,"63,78",Music
67,"108,03",Grocery
68,"69,2",Beauty
69,"115,34",Outdoors
70,"22,68",Baby
71,"55,81",Kids
72,"96,65",Computers
73,"34,88",Health
74,"11,45",Jewelry
75,"91,49",Beauty
76,"19,59",Health
77,"94,58",Garden
78,"140,9",Computers
79,"32,87",Clothing
85,"139,38",Kids
86,"123,66",Shoes
87,"66,68",Books
88,"23,51",Tools
89,"81,13",Baby
90,"66,53",Clothing
91,"86,24",Music
92,"45,48",Industrial
93,"79,53",Outdoors
94,"92,86",Health
95,"125,29",Electronics
96,"18,69",Baby
97,"136,95",Movies
98,"114,69",Games
99,"104,06",Clothing
100,"146,54",Games
101,"101,07",Computers
102,"25,12",Games
103,"92,96",Electronics
104,"25,48",Electronics
105,"102,59",Movies
106,"77,19",Health
107,"11,64",Tools
108,"56,68",Kids
109,"57,1",Electronics
110,"54,2",Computers
111,"3,45",Beauty
112,28,Games
113,"8,23",Electronics
114,"19,31",Home
115,"130,2",Automotive
116,"114,29",Baby
117,"69,25",Baby
118,"70,14",Beauty
119,"134,09",Baby
120,"24,97",Baby
121,"145,64",Clothing
122,"46,16",Clothing
123,"96,87",Beauty
124,"142,63",Health
125,"148,07",Movies
126,"0,51",Kids
127,"63,15",Industrial
128,"137,43",Music
129,"100,18",Electronics
130,"128,6",Kids
131,"111,91",Shoes
132,"119,73",Industrial
133,"113,71",Clothing
134,"101,06",Outdoors
135,"42,24",Shoes
136,"93,71",Jewelry
137,"15,52",Baby
138,"29,28",Industrial
139,"138,76",Sports
140,"2,58",Baby
141,"119,12",Beauty
142,"138,62",Health
143,"101,05",Games
144,"9,42",Grocery
145,"43,57",Electronics
146,"66,52",Automotive
147,"23,51",Movies
148,"116,73",Books
149,"4,9",Movies
150,"12,15",Electronics
151,"101,21",Garden
152,"91,84",Home
153,"88,43",Beauty
154,"47,89",Beauty
155,"133,1",Beauty
156,"134,75",Beauty
157,"59,81",Beauty
158,136,Automotive
159,"83,75",Electronics
160,"64,25",Computers
161,"1,86",Industrial
162,"93,91",Books
163,"118,07",Beauty
164,"62,7",Tools
165,"1,72",Outdoors
166,"114,02",Electronics
167,"135,37",Electronics
168,"17,52",Industrial
169,"5,84",Sports
170,"138,49",Music
171,"35,85",Books
172,"130,08",Automotive
173,"28,38",Kids
174,"36,35",Sports
175,"141,71",Kids
